선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
이정후,키움,0.360,123,544,464,78,167,42,6,7,242,84,0,9,62,1,9,37,8,0.522,0.438,0.960,51,0.341,0.0
김혜성,키움,0.304,144,635,559,99,170,20,3,3,205,66,0,10,65,3,1,97,8,0.367,0.372,0.739,45,0.289,0.5
이용규,키움,0.296,133,547,459,88,136,16,8,1,171,43,6,6,71,2,5,46,5,0.373,0.392,0.765,38,0.276,0.333
송우현,키움,0.296,69,282,250,34,74,17,2,3,104,42,1,1,28,1,2,49,4,0.416,0.370,0.786,22,0.361,0.5
김은성,키움,0.278,6,18,18,1,5,3,0,0,8,2,0,0,0,0,0,6,0,0.444,0.278,0.722,1,0.4,0.0
이지영,키움,0.275,108,258,233,29,64,5,1,0,71,31,2,3,19,2,1,17,10,0.305,0.328,0.633,18,0.328,0.133
프레이타스,키움,0.259,43,148,139,13,36,10,0,2,52,14,0,1,7,0,1,29,7,0.374,0.297,0.671,9,0.211,0.0
박동원,키움,0.249,131,481,413,61,103,21,0,22,190,83,5,3,53,0,7,114,12,0.460,0.342,0.802,26,0.277,0.2
송성문,키움,0.249,66,274,245,30,61,10,1,6,91,33,2,1,25,0,1,42,2,0.371,0.320,0.691,17,0.267,0.333
크레익,키움,0.248,61,247,222,25,55,12,0,6,85,30,0,1,20,1,4,43,4,0.383,0.320,0.703,16,0.27,0.333
김웅빈,키움,0.241,97,279,232,24,56,13,1,6,89,35,2,2,34,2,9,73,2,0.384,0.357,0.741,10,0.315,0.348
변상권,키움,0.239,72,171,159,19,38,5,4,0,51,20,0,3,9,0,0,40,2,0.321,0.275,0.596,7,0.213,0.182
박병호,키움,0.227,118,477,409,48,93,23,0,20,176,76,0,7,47,3,14,141,9,0.430,0.323,0.753,22,0.233,0.333
김수환,키움,0.220,13,44,41,5,9,2,0,2,17,5,0,1,2,0,0,17,2,0.415,0.250,0.665,2,0.25,0.0
김재현,키움,0.217,39,51,46,2,10,7,0,0,17,8,2,0,3,0,0,12,1,0.370,0.265,0.635,1,0.176,0.0
김병휘,키움,0.200,13,11,10,5,2,0,0,0,2,0,0,0,1,0,0,2,0,0.200,0.273,0.473,0,0.333,0.0
박준태,키움,0.196,27,58,46,10,9,3,0,0,12,4,0,0,10,0,2,16,0,0.261,0.362,0.623,1,0.214,1.0
전병우,키움,0.187,115,261,214,35,40,8,0,6,66,31,4,1,33,0,9,83,0,0.308,0.319,0.627,7,0.286,0.2
김주형,키움,0.180,36,70,50,5,9,3,0,0,12,5,3,0,4,0,13,15,0,0.240,0.388,0.628,1,0.364,1.0
신준우,키움,0.167,56,51,42,7,7,3,0,0,10,4,1,1,4,0,3,21,1,0.238,0.280,0.518,0,0.154,1.0
