선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
강백호,KT,0.347,57,131,129,1.02,11,1.21,4.20,0.174,117.6,0.333,2021
박승욱,KT,0.333,1,3,0,-,0,0.00,3.00,0.167,1.0,0.275,2021
김민혁,KT,0.320,9,49,42,1.17,1,0.77,3.82,0.076,26.8,0.277,2021
유한준,KT,0.309,21,77,88,0.88,5,1.29,3.86,0.110,48.0,0.289,2021
황재균,KT,0.291,28,88,145,0.61,5,0.50,4.02,0.110,65.1,0.262,2021
김병희,KT,0.288,8,9,13,0.69,1,0.87,4.00,0.346,15.5,0.364,2021
천성호,KT,0.286,1,14,7,2.00,1,0.33,3.43,0.024,5.3,0.24,2021
허도환,KT,0.276,8,28,20,1.40,3,0.29,3.77,0.114,13.3,0.25,2021
알몬테,KT,0.271,16,60,56,1.07,1,0.44,3.92,0.133,29.3,0.252,2021
심우준,KT,0.268,28,92,147,0.63,7,0.49,4.12,0.103,53.4,0.238,2021
배정대,KT,0.259,36,121,130,0.93,7,0.49,4.02,0.120,73.6,0.253,2021
권동진,KT,0.254,6,14,6,2.33,0,0.60,4.07,0.119,11.5,0.279,2021
강민국,KT,0.244,2,20,8,2.50,1,0.50,3.94,0.044,3.6,0.204,2021
오윤석,KT,0.244,15,34,43,0.79,0,0.57,3.95,0.140,23.9,0.257,2021
호잉,KT,0.239,23,67,83,0.81,8,0.50,3.78,0.178,37.5,0.245,2021
조용호,KT,0.236,15,145,102,1.42,5,0.87,4.30,0.037,48.6,0.225,2021
신본기,KT,0.236,9,53,36,1.47,1,0.49,3.91,0.063,17.6,0.225,2021
장성우,KT,0.231,27,113,117,0.97,10,0.87,3.95,0.143,49.6,0.245,2021
김태훈,KT,0.230,6,25,23,1.09,1,0.11,3.51,0.103,7.0,0.198,2021
송민섭,KT,0.229,0,8,7,1.14,0,0.55,4.09,0.000,8.7,0.23,2021
문상철,KT,0.219,8,17,25,0.68,1,0.24,3.73,0.125,10.1,0.217,2021
김건형,KT,0.212,1,13,7,1.86,0,1.00,3.72,0.030,3.5,0.21,2021
김준태,KT,0.195,9,27,38,0.71,0,0.45,4.25,0.133,13.9,0.215,2021
박경수,KT,0.192,19,41,76,0.54,4,0.45,4.08,0.155,25.3,0.222,2021
홍현빈,KT,0.182,0,1,0,-,0,0.00,4.75,0.000,-0.2,0.127,2021
이홍구,KT,0.164,1,9,10,0.90,0,0.07,3.83,0.055,0.6,0.14,2021
고명성,KT,0.000,0,0,1,0.00,0,-,1.00,0.000,-0.1,0.0,2021
고영표,KT,-,0,0,0,-,0,-,6.00,-,0.3,0.45,2021
김민수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
박시영,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
