선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
장성우,포수,2.289,2020,KT,126,114,952,3,0,665,34,6,0.996,6,54,14,20.6
배정대,중견수,1.009,2020,KT,143,141,1221 1/3,5,0,354,13,2,0.987,0,0,0,-
심우준,유격수,0.938,2020,KT,144,133,1157,21,0,231,427,94,0.969,0,0,0,-
황재균,3루수,0.93,2020,KT,132,128,1113 2/3,13,0,106,213,31,0.961,0,0,0,-
박경수,2루수,0.537,2020,KT,105,94,746 1/3,8,0,180,286,66,0.983,0,0,0,-
홍현빈,좌익수,0.286,2020,KT,26,2,51 1/3,0,0,16,0,0,1.000,0,0,0,-
송민섭,좌익수,0.197,2020,KT,55,0,93 2/3,0,0,19,1,0,1.0,0,0,0,-
송민섭,중견수,0.175,2020,KT,17,1,38,0,0,16,2,0,1.000,0,0,0,-
강민국,2루수,0.164,2020,KT,34,19,154 2/3,3,0,45,50,21,0.969,0,0,0,-
로하스,좌익수,0.149,2020,KT,12,4,44 1/3,1,0,15,1,0,0.941,0,0,0,-
로하스,우익수,0.116,2020,KT,104,102,845 2/3,3,0,204,6,3,0.986,0,0,0,-
김병희,3루수,0.084,2020,KT,14,2,32 2/3,0,0,0,7,1,1.000,0,0,0,-
송민섭,우익수,0.054,2020,KT,55,0,85 1/3,0,0,15,1,0,1.0,0,0,0,-
천성호,3루수,0.054,2020,KT,20,5,61 1/3,0,0,4,15,2,1.000,0,0,0,-
유한준,좌익수,0.052,2020,KT,2,2,9,0,0,4,0,0,1.000,0,0,0,-
김민혁,우익수,0.044,2020,KT,6,1,14,0,0,3,0,0,1.000,0,0,0,-
조용호,좌익수,0.035,2020,KT,86,69,525 2/3,1,0,107,6,1,0.991,0,0,0,-
문상철,좌익수,0.031,2020,KT,15,11,89,0,0,23,0,0,1.000,0,0,0,-
홍현빈,중견수,0.013,2020,KT,11,2,22 2/3,0,0,7,0,0,1.000,0,0,0,-
김병희,2루수,0.001,2020,KT,4,1,13 2/3,1,0,2,6,1,0.889,0,0,0,-
조용호,중견수,0.0,2020,KT,2,0,2,0,0,0,0,0,-,0,0,0,-
천성호,유격수,-0.007,2020,KT,4,1,11 1/3,0,0,1,5,1,1.000,0,0,0,-
김민혁,좌익수,-0.011,2020,KT,68,48,379 2/3,4,0,97,1,0,0.961,0,0,0,-
조용호,우익수,-0.018,2020,KT,31,23,192 2/3,0,0,44,0,0,1.0,0,0,0,-
문상인,포수,-0.029,2020,KT,3,0,7,0,0,2,0,0,1.000,0,0,0,-
유한준,우익수,-0.034,2020,KT,19,15,120 2/3,0,0,23,1,0,1.000,0,0,0,-
이홍구,포수,-0.036,2020,KT,43,26,230,2,0,171,9,2,0.989,0,24,2,7.7
박준혁,우익수,-0.036,2020,KT,7,0,10,0,0,3,0,0,1.000,0,0,0,-
김병희,1루수,-0.049,2020,KT,10,1,15,0,0,12,1,2,1.000,0,0,0,-
정주후,2루수,-0.05,2020,KT,5,0,7,1,0,2,0,1,0.667,0,0,0,-
김민혁,중견수,-0.067,2020,KT,4,0,5 1/3,0,0,1,0,0,1.000,0,0,0,-
홍현빈,우익수,-0.072,2020,KT,4,0,5,0,0,0,0,0,-,0,0,0,-
강백호,우익수,-0.084,2020,KT,3,3,17,0,0,1,0,0,1.000,0,0,0,-
황재균,1루수,-0.103,2020,KT,2,1,11 1/3,0,0,8,0,2,1.000,0,0,0,-
박승욱,1루수,-0.111,2020,KT,18,4,51 2/3,0,0,61,2,5,1.000,0,0,0,-
박승욱,3루수,-0.146,2020,KT,5,1,10 2/3,1,0,1,3,0,0.800,0,0,0,-
강민국,3루수,-0.162,2020,KT,25,8,69,0,0,6,11,4,1.000,0,0,0,-
문상철,1루수,-0.17,2020,KT,29,17,146 1/3,1,0,131,9,16,0.993,0,0,0,-
박승욱,유격수,-0.205,2020,KT,10,2,30,0,0,3,7,2,1.000,0,0,0,-
강민국,유격수,-0.233,2020,KT,30,8,92,2,0,13,18,7,0.939,0,0,0,-
박승욱,2루수,-0.266,2020,KT,72,20,241 1/3,6,0,54,89,24,0.96,0,0,0,-
허도환,포수,-0.268,2020,KT,47,14,151 1/3,3,0,103,10,1,0.974,1,6,1,14.3
천성호,2루수,-0.293,2020,KT,35,9,108 2/3,3,0,22,34,5,0.949,0,0,0,-
강현우,포수,-0.366,2020,KT,25,6,81 1/3,1,1,50,11,2,0.984,3,5,2,28.6
강백호,1루수,-0.378,2020,KT,127,121,1064,10,0,1056,75,111,0.991,0,0,0,-
박준혁,좌익수,,2020,KT,2,0,2,0,0,0,0,0,-,0,0,0,-
천성호,1루수,,2020,KT,1,0,1,0,0,0,1,0,1.000,0,0,0,-
김태훈,좌익수,,2020,KT,2,0,2,0,0,0,0,0,-,0,0,0,-
오지환,유격수,3.116,2020,LG,141,136,1142,15,0,184,405,100,0.975,0,0,0,-
홍창기,중견수,0.799,2020,LG,82,67,574 2/3,2,0,170,4,1,0.989,0,0,0,-
