선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
라가레스,SSG,0.315,49,202,181,24,57,9,0,6,84,32,3,3,14,1,1,18,4,0.464,0.362,0.826,16,0.378,0.0,2022
최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,13,4,47,0,7,77,7,0.427,0.362,0.789,43,0.362,1.0,2022
김강민,SSG,0.303,84,202,178,24,54,11,0,5,80,18,2,1,18,2,3,39,1,0.449,0.375,0.824,13,0.317,0.364,2022
최경모,SSG,0.301,98,75,73,16,22,2,0,0,24,4,1,0,1,0,0,18,1,0.329,0.311,0.640,5,0.333,0.5,2022
박성한,SSG,0.298,140,564,494,68,147,24,4,2,185,56,6,2,60,1,2,81,5,0.374,0.375,0.749,35,0.31,0.0,2022
이정범,SSG,0.273,7,11,11,2,3,0,0,0,3,1,0,0,0,0,0,2,0,0.273,0.273,0.546,0,0.5,0.667,2022
최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6,66,3,19,96,6,0.505,0.386,0.891,27,0.292,0.5,2022
한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5,66,6,16,137,8,0.478,0.372,0.850,31,0.284,0.111,2022
추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4,71,1,13,100,6,0.430,0.382,0.812,29,0.299,0.25,2022
최준우,SSG,0.250,10,16,12,0,3,0,0,0,3,1,0,1,3,0,0,3,0,0.250,0.375,0.625,1,0.0,0.333,2022
전의산,SSG,0.249,77,266,241,36,60,15,1,13,116,45,0,1,24,3,0,84,6,0.481,0.316,0.797,15,0.323,0.3,2022
오태곤,SSG,0.232,130,295,263,48,61,14,1,4,89,23,5,3,15,1,9,68,3,0.338,0.293,0.631,15,0.257,0.286,2022
오준혁,SSG,0.230,47,67,61,3,14,2,0,0,16,6,1,0,5,0,0,15,4,0.262,0.288,0.550,2,0.286,0.167,2022
김재현,SSG,0.222,18,20,18,2,4,1,0,0,5,4,2,0,0,0,0,3,2,0.278,0.222,0.500,1,0.222,0.0,2022
석정우,SSG,0.222,9,9,9,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0.222,0.222,0.444,0,0.0,0.0,2022
크론,SSG,0.222,67,259,243,21,54,13,1,11,102,35,0,4,9,0,3,68,3,0.420,0.255,0.675,13,0.158,0.0,2022
김민식,SSG,0.221,104,266,222,30,49,9,1,2,66,28,7,3,32,1,2,45,4,0.297,0.320,0.617,8,0.254,0.167,2022
김성현,SSG,0.219,130,359,302,38,66,9,1,2,83,37,20,3,31,0,3,36,13,0.275,0.295,0.570,14,0.238,0.333,2022
하재훈,SSG,0.215,60,114,107,18,23,6,1,6,49,13,0,2,4,0,1,40,0,0.458,0.246,0.704,2,0.172,0.278,2022
최주환,SSG,0.211,97,333,298,36,63,14,2,9,108,41,0,2,29,2,4,55,5,0.362,0.288,0.650,15,0.195,0.125,2022
이재원,SSG,0.201,105,279,234,27,47,6,0,4,65,28,9,3,25,1,8,44,13,0.278,0.296,0.574,5,0.208,0.125,2022
조형우,SSG,0.167,9,13,12,2,2,1,0,0,3,1,0,0,1,0,0,3,0,0.250,0.231,0.481,1,1.0,0.0,2022
안상현,SSG,0.158,46,47,38,12,6,0,0,2,12,5,3,0,5,0,1,12,2,0.316,0.273,0.589,0,0.273,0.25,2022
