선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
나성범,KIA,0.365,31,49,60,0.82,6,0.72,3.85,0.306,57.9,0.360
박정우,KIA,0.333,0,3,2,1.50,0,0.00,3.08,0.000,1.1,0.233
김선빈,KIA,0.320,16,158,104,1.52,8,1.46,3.72,0.038,57.2,0.261
김도영,KIA,0.303,32,93,86,1.08,5,0.61,3.81,0.150,56.1,0.280
최형우,KIA,0.302,45,85,137,0.62,14,0.78,4.02,0.186,84.1,0.302
이우성,KIA,0.301,25,98,72,1.36,4,0.38,3.82,0.115,52.4,0.268
박찬호,KIA,0.301,25,129,137,0.94,4,0.71,3.97,0.077,62.9,0.255
고종욱,KIA,0.296,20,78,56,1.39,6,0.24,3.70,0.096,33.1,0.246
소크라테스,KIA,0.285,54,136,183,0.74,6,0.65,3.58,0.177,86.0,0.271
이창진,KIA,0.270,18,73,63,1.16,3,0.77,3.90,0.119,36.2,0.260
김태군,KIA,0.257,12,109,96,1.14,3,0.50,3.43,0.048,25.9,0.214
한준수,KIA,0.256,6,16,22,0.73,1,0.27,3.41,0.116,9.5,0.233
최원준,KIA,0.255,14,77,62,1.24,3,0.79,4.34,0.075,28.2,0.236
김규성,KIA,0.234,9,24,54,0.44,1,0.30,4.24,0.089,15.7,0.214
변우혁,KIA,0.225,11,34,47,0.72,2,0.31,4.10,0.125,22.7,0.229
황대인,KIA,0.213,9,40,50,0.80,2,0.36,4.05,0.109,17.5,0.214
김호령,KIA,0.179,7,13,27,0.48,1,0.21,4.02,0.074,5.7,0.176
오선우,KIA,0.179,2,6,2,3.00,0,0.20,4.55,0.214,3.2,0.214
신범수,KIA,0.170,5,21,34,0.62,1,0.37,4.03,0.102,5.7,0.179
최정용,KIA,0.167,1,9,12,0.75,0,0.22,3.51,0.028,2.0,0.143
김선우,KIA,0.143,0,1,3,0.33,0,0.00,3.43,0.000,-0.1,0.100
김석환,KIA,0.130,1,6,5,1.20,0,0.22,3.65,0.043,0.2,0.134
한승택,KIA,0.129,2,20,22,0.91,0,0.34,4.09,0.024,3.3,0.149
주효상,KIA,0.063,0,8,12,0.67,1,0.20,3.81,0.000,-1.4,0.069
김기훈,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
박준표,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
윤도현,KIA,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000
윤중현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
홍종표,KIA,0.000,0,3,3,1.00,0,3.00,4.67,0.000,0.8,0.164
황동하,KIA,-,0,0,0,-,0,-,-,-,0.0,0.000
