순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,이재용,한화,0.500,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,0.0,0.0
2,최인호,한화,0.298,41,148,131,23,39,5,3,2,56,11,2,1,10,0,4,22,2,0.427,0.363,0.790,10,0.24,0.25
3,노시환,한화,0.298,131,595,514,85,153,30,1,31,278,101,0,3,74,5,4,118,13,0.541,0.388,0.929,47,0.299,0.0
4,문현빈,한화,0.266,137,481,428,47,114,22,2,5,155,49,9,5,33,2,6,84,7,0.362,0.324,0.686,31,0.252,0.25
5,채은성,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,3,52,8,20,102,16,0.428,0.351,0.779,39,0.311,0.0
6,김태연,한화,0.261,91,280,245,25,64,13,0,4,89,25,1,4,27,1,3,59,3,0.363,0.337,0.700,16,0.242,0.273
7,이도윤,한화,0.252,106,346,309,36,78,13,2,1,98,13,15,0,18,1,4,55,6,0.317,0.302,0.619,19,0.144,0.333
8,이진영,한화,0.249,121,422,358,57,89,22,0,10,141,50,4,5,53,0,2,127,4,0.394,0.344,0.738,22,0.24,0.154
9,최재훈,한화,0.248,125,417,327,23,81,12,0,1,96,33,9,2,56,1,23,48,9,0.294,0.392,0.686,19,0.247,0.25
10,윌리엄스,한화,0.244,68,273,258,29,63,14,0,9,104,45,0,3,8,0,4,63,6,0.403,0.275,0.678,13,0.301,0.333
11,오선진,한화,0.230,90,199,165,17,38,6,0,0,44,14,3,2,24,0,5,34,7,0.267,0.342,0.609,8,0.297,0.071
12,김인환,한화,0.225,112,365,325,34,73,16,0,7,110,42,0,3,35,2,2,91,4,0.338,0.301,0.639,16,0.254,0.136
13,장운호,한화,0.222,4,11,9,1,2,0,0,0,2,1,0,0,2,0,0,2,0,0.222,0.364,0.586,0,0.25,0.0
13,장진혁,한화,0.222,68,178,162,24,36,5,1,0,43,12,0,1,15,0,0,41,3,0.265,0.287,0.552,6,0.229,0.364
15,정은원,한화,0.222,122,459,388,50,86,12,0,2,104,30,5,1,62,1,3,73,4,0.268,0.333,0.601,16,0.214,0.0
16,노수광,한화,0.221,30,94,77,6,17,5,0,0,22,4,2,2,13,0,0,27,3,0.286,0.326,0.612,4,0.154,0.0
17,박상언,한화,0.200,86,161,145,13,29,5,1,1,39,13,3,2,10,0,1,38,6,0.269,0.253,0.522,2,0.186,0.333
18,이원석,한화,0.190,81,138,116,20,22,1,1,0,25,8,0,0,21,0,1,33,3,0.216,0.319,0.535,3,0.212,0.0
19,박정현,한화,0.181,53,113,105,12,19,6,0,2,31,4,3,0,3,0,2,36,2,0.295,0.218,0.513,3,0.043,0.286
20,이명기,한화,0.175,14,42,40,2,7,1,0,0,8,5,0,0,2,0,0,9,0,0.200,0.214,0.414,2,0.2,0.0
21,김건,한화,0.167,7,12,12,1,2,0,0,0,2,0,0,0,0,0,0,8,0,0.167,0.167,0.334,1,0.25,0.0
22,권광민,한화,0.151,66,81,73,11,11,1,1,2,20,9,1,0,6,0,1,24,2,0.274,0.225,0.499,1,0.3,0.267
23,유로결,한화,0.146,27,53,48,5,7,1,0,0,8,5,1,2,1,0,1,10,3,0.167,0.173,0.340,1,0.125,0.0
24,이성곤,한화,0.143,8,16,14,2,2,0,0,0,2,0,1,0,1,0,0,3,0,0.143,0.200,0.343,0,0.0,0.0
25,오그레디,한화,0.125,22,86,80,3,10,3,0,0,13,8,0,1,5,0,0,40,0,0.163,0.174,0.337,1,0.13,0.0
26,하주석,한화,0.114,25,38,35,4,4,1,0,0,5,2,0,0,2,0,1,10,0,0.143,0.184,0.327,0,0.167,0.2
27,강재민,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,박상원,한화,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,박준영,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,유상빈,한화,0.000,3,8,6,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0.000,0.250,0.250,0,0.0,0.0
27,윤대경,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이민준,한화,0.000,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.0,0.0
27,이상혁,한화,0.000,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이태양,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,장지승,한화,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
27,정우람,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,허관회,한화,0.000,10,7,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
