순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,0,2,109,4,16,95,6,0.408,0.456,0.864,57,0.343,0.5
2,이상호,LG,0.308,45,68,65,5,20,2,0,0,22,12,2,0,1,0,0,10,2,0.338,0.318,0.656,3,0.55,0.667
3,한석현,LG,0.286,16,26,21,5,6,2,1,0,10,1,0,1,3,0,1,7,1,0.476,0.385,0.861,1,0.0,0.5
4,김현수,LG,0.285,140,595,506,70,144,23,1,17,220,96,0,9,77,5,3,42,7,0.435,0.376,0.811,43,0.279,0.0
5,채은성,LG,0.276,110,448,387,59,107,20,0,16,175,82,0,7,38,2,16,80,9,0.452,0.359,0.811,27,0.317,0.167
6,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.25
7,서건창,LG,0.253,144,600,513,78,130,24,2,6,176,52,5,4,69,2,9,78,14,0.343,0.350,0.693,32,0.24,0.286
8,유강남,LG,0.252,130,441,397,39,100,16,0,11,149,60,3,2,25,1,14,75,11,0.375,0.317,0.692,22,0.254,0.5
9,이재원,LG,0.247,62,171,154,22,38,6,0,5,59,17,0,1,14,0,2,48,2,0.383,0.316,0.699,9,0.191,0.0
10,라모스,LG,0.243,51,205,185,14,45,7,1,8,78,25,0,0,18,0,2,43,2,0.422,0.317,0.739,11,0.218,0.333
10,이영빈,LG,0.243,72,169,148,21,36,9,0,2,51,16,2,1,15,0,3,51,1,0.345,0.323,0.668,7,0.297,0.467
12,정주현,LG,0.238,73,214,181,26,43,7,1,3,61,10,9,0,24,0,0,32,4,0.337,0.327,0.664,8,0.159,1.0
13,문보경,LG,0.230,107,329,278,37,64,11,1,8,101,39,3,2,46,1,0,64,5,0.363,0.337,0.700,14,0.324,0.308
14,문성주,LG,0.228,31,89,79,11,18,1,0,1,22,10,0,1,7,0,2,15,1,0.278,0.303,0.581,4,0.375,0.0
15,김민성,LG,0.222,121,426,360,35,80,22,0,8,126,39,11,5,42,2,8,73,7,0.350,0.313,0.663,19,0.207,0.111
16,이형종,LG,0.218,90,281,239,32,52,11,0,10,93,34,1,0,34,1,7,65,10,0.389,0.332,0.721,11,0.154,0.222
17,이성우,LG,0.212,36,39,33,0,7,0,0,0,7,2,5,0,1,0,0,8,1,0.212,0.235,0.447,1,0.111,0.0
18,이천웅,LG,0.199,68,211,181,20,36,7,0,2,49,16,1,1,25,0,3,23,11,0.271,0.305,0.576,7,0.273,0.3
19,보어,LG,0.170,32,117,100,7,17,2,0,3,28,17,0,3,11,0,3,30,2,0.280,0.265,0.545,1,0.16,0.0
20,김주성,LG,0.167,3,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0.667,0.286,0.953,0,0.0,0.0
21,김용의,LG,0.148,102,41,27,19,4,2,0,0,6,2,4,1,9,0,0,5,1,0.222,0.351,0.573,0,0.125,0.0
22,안익훈,LG,0.143,48,16,14,4,2,1,0,0,3,1,0,0,0,0,2,2,1,0.214,0.250,0.464,0,0.0,0.0
