순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,채은성,LG,0.315,128,514,470,59,148,18,1,12,204,72,0,8,24,1,12,67,9,0.434,0.358,0.792,43,0.331,0.333
2,이천웅,LG,0.308,138,613,546,88,168,24,3,2,204,48,4,1,57,1,5,82,13,0.374,0.378,0.752,52,0.333,0.333
3,김현수,LG,0.304,140,595,526,75,160,37,0,11,230,82,0,9,54,9,6,52,11,0.437,0.370,0.807,49,0.329,0.0
4,페게로,LG,0.286,52,214,199,24,57,10,0,9,94,44,0,1,12,0,2,63,2,0.472,0.332,0.804,15,0.277,0.0
5,이형종,LG,0.286,120,482,419,56,120,24,1,13,185,63,1,10,42,1,10,78,9,0.442,0.358,0.800,35,0.248,0.222
6,박용택,LG,0.282,64,215,195,19,55,9,0,1,67,22,0,2,18,1,0,30,3,0.344,0.340,0.684,15,0.22,0.273
7,조셉,LG,0.274,55,217,197,17,54,3,0,9,84,36,0,2,14,0,4,46,3,0.426,0.332,0.758,13,0.263,0.5
8,유강남,LG,0.270,132,468,418,44,113,22,0,16,183,49,1,6,30,2,13,82,21,0.438,0.334,0.772,25,0.21,0.273
9,김민성,LG,0.260,107,401,361,44,94,16,0,8,134,50,5,1,30,0,4,75,12,0.371,0.323,0.694,25,0.33,0.0
10,오지환,LG,0.252,134,547,473,63,119,23,5,9,179,53,7,3,57,1,7,113,7,0.378,0.339,0.717,32,0.256,0.0
11,홍창기,LG,0.250,23,26,24,3,6,2,0,0,8,0,0,0,1,0,1,12,1,0.333,0.308,0.641,1,0.167,0.143
12,전민수,LG,0.240,75,106,96,8,23,7,0,0,30,8,1,0,9,0,0,18,4,0.313,0.305,0.618,3,0.241,0.282
13,서상우,LG,0.238,13,24,21,2,5,1,0,0,6,1,0,0,3,0,0,8,1,0.286,0.333,0.619,2,0.0,0.143
14,신민재,LG,0.235,81,94,81,25,19,3,0,0,22,5,1,1,8,0,3,17,0,0.272,0.323,0.595,2,0.211,0.286
15,정주현,LG,0.231,129,425,376,53,87,19,2,2,116,27,16,1,31,0,1,91,10,0.309,0.291,0.600,21,0.195,0.0
16,김용의,LG,0.218,114,210,179,35,39,5,3,0,50,17,4,1,24,1,2,38,1,0.279,0.316,0.595,8,0.25,0.0
17,김재성,LG,0.200,3,7,5,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0.200,0.429,0.629,0,0.333,0.0
18,류형우,LG,0.182,10,12,11,2,2,0,0,0,2,1,0,0,1,0,0,3,1,0.182,0.250,0.432,0,0.333,0.0
19,구본혁,LG,0.176,57,95,85,10,15,1,0,1,19,6,1,1,6,0,2,17,0,0.224,0.245,0.469,3,0.133,0.0
20,백승현,LG,0.167,14,30,30,1,5,1,0,0,6,0,0,0,0,0,0,10,1,0.200,0.167,0.367,0,0.0,0.0
21,이성우,LG,0.156,55,74,64,2,10,3,0,0,13,6,3,0,4,0,3,11,2,0.203,0.239,0.442,0,0.188,0.0
22,양종민,LG,0.136,18,49,44,1,6,2,0,0,8,5,2,1,2,0,0,15,3,0.182,0.170,0.352,1,0.083,0.0
23,김재율,LG,0.111,4,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.111,0.111,0.222,0,0.0,0.0
24,윤진호,LG,0.102,106,62,59,6,6,2,0,1,11,5,2,0,1,0,0,13,0,0.186,0.117,0.303,0,0.188,0.0
25,박지규,LG,0.091,10,18,11,2,1,0,0,0,1,1,1,0,4,0,2,7,0,0.091,0.412,0.503,0,0.0,0.0
26,정상호,LG,0.083,22,24,24,1,2,1,0,0,3,2,0,0,0,0,0,11,3,0.125,0.083,0.208,1,0.25,0.0
27,고우석,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,문광은,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,양원혁,LG,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,여건욱,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이상영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,장원삼,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,전준호,LG,0.000,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,정우영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,정찬헌,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,최동환,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
