선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김정인,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박관진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박정음,키움,0.000,0,6,6,1.00,0,0.67,3.61,0.000,-0.2,0.075
양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
오주원,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
이승호,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
장재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김태연,한화,0.301,15,51,33,1.55,7,0.77,4.21,0.119,34.1,0.293
정은원,한화,0.283,33,126,127,0.99,2,1.0,4.47,0.101,84.2,0.279
최재훈,한화,0.275,28,107,100,1.07,2,1.06,4.14,0.112,61.3,0.279
하주석,한화,0.272,40,146,104,1.4,4,0.38,3.87,0.12,73.9,0.254
노시환,한화,0.271,37,97,77,1.26,9,0.68,4.17,0.195,67.7,0.29
페레즈,한화,0.268,21,50,69,0.72,1,0.33,3.94,0.143,30.7,0.247
이성곤,한화,0.264,15,43,33,1.3,0,0.55,4.26,0.109,24.6,0.263
힐리,한화,0.257,19,63,65,0.97,4,0.28,3.88,0.137,28.7,0.236
장규현,한화,0.25,1,4,1,4.0,0,0.0,3.08,0.083,0.5,0.196
장운호,한화,0.235,10,68,76,0.89,2,0.47,3.78,0.035,27.5,0.217
노수광,한화,0.231,10,39,38,1.03,1,0.37,3.78,0.1,19.3,0.222
정진호,한화,0.228,9,54,38,1.42,2,0.68,4.1,0.062,13.0,0.208
이성열,한화,0.21,10,34,26,1.31,2,0.5,4.06,0.118,14.0,0.223
김민하,한화,0.209,6,31,26,1.19,2,0.47,4.2,0.078,14.1,0.227
최인호,한화,0.206,10,23,44,0.52,3,0.56,4.3,0.132,18.3,0.233
조한민,한화,0.197,13,22,25,0.88,0,0.23,4.1,0.197,14.3,0.224
박정현,한화,0.196,4,26,29,0.9,3,0.28,3.58,0.037,6.7,0.174
허관회,한화,0.19,0,16,15,1.07,0,0.59,4.19,0.0,6.4,0.196
이시원,한화,0.189,1,18,13,1.38,0,0.25,3.18,0.019,2.1,0.169
장지승,한화,0.18,2,11,16,0.69,0,0.29,3.74,0.066,4.0,0.183
이원석,한화,0.175,3,20,33,0.61,0,0.19,3.96,0.053,6.9,0.164
이도윤,한화,0.175,0,16,18,0.89,0,0.22,3.93,0.0,1.2,0.145
이해창,한화,0.167,3,13,20,0.65,0,0.08,3.73,0.056,1.9,0.142
임종찬,한화,0.153,6,29,33,0.88,0,0.24,3.91,0.061,5.1,0.157
유로결,한화,0.143,6,27,20,1.35,0,0.21,4.08,0.082,4.7,0.154
백용환,한화,0.14,5,23,25,0.92,1,0.42,3.92,0.151,6.5,0.19
정민규,한화,0.125,1,4,4,1.0,0,0.17,4.59,0.063,-0.1,0.126
노태형,한화,0.116,1,13,10,1.3,0,0.4,4.27,0.023,1.2,0.136
강상원,한화,0.108,0,13,9,1.44,0,0.82,4.12,0.0,3.0,0.161
김지수,한화,0.083,1,4,4,1.0,0,0.07,4.84,0.042,-0.5,0.085
김건,한화,0.083,0,4,3,1.33,0,0.00,4.00,0.000,-0.5,0.058
강재민,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
김기탁,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
김종수,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
김태균,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
박상언,한화,0.000,0,1,0,-,0,-,3.00,0.000,-0.1,0.0
송윤준,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
송호정,한화,0.000,0,2,0,-,0,0.13,4.91,0.000,-0.6,0.041
신정락,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
윤대경,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
윤호솔,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
임준섭,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
장민재,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
정우람,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
