선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
안치홍,KIA,0.315,24,107,109,0.98,5,1.08,3.56,0.097,56.0,0.274
터커,KIA,0.311,42,98,105,0.93,10,0.86,3.97,0.168,58.6,0.291
황윤호,KIA,0.301,8,33,42,0.79,0,0.42,3.27,0.098,14.9,0.246
최형우,KIA,0.300,49,115,134,0.86,10,1.10,4.06,0.184,90.7,0.307
한준수,KIA,0.300,2,10,2,5.00,0,0.00,3.15,0.100,1.4,0.235
김주찬,KIA,0.300,19,85,110,0.77,3,0.39,3.39,0.074,41.6,0.247
김선빈,KIA,0.292,25,136,121,1.12,4,1.65,3.70,0.079,53.5,0.255
유민상,KIA,0.291,20,54,35,1.54,2,0.69,3.68,0.171,29.0,0.289
이정훈,KIA,0.286,1,6,4,1.50,0,0.00,3.80,0.071,0.9,0.209
최정용,KIA,0.286,0,4,1,4.00,0,0.00,3.71,0.000,1.6,0.2
이창진,KIA,0.270,32,82,123,0.67,4,0.62,3.93,0.113,57.3,0.259
박찬호,KIA,0.260,21,173,119,1.45,4,0.31,3.88,0.058,51.9,0.214
유재신,KIA,0.255,3,12,15,0.80,0,0.50,3.97,0.078,5.8,0.231
류승현,KIA,0.253,9,42,41,1.02,2,0.31,3.99,0.067,14.2,0.221
백용환,KIA,0.234,4,3,19,0.16,0,0.21,3.57,0.170,5.8,0.233
이범호,KIA,0.231,2,7,12,0.58,1,1.00,3.23,0.154,3.7,0.227
고장혁,KIA,0.226,1,10,6,1.67,0,0.00,3.97,0.065,1.5,0.185
한승택,KIA,0.223,13,59,56,1.05,3,0.33,4.16,0.080,22.8,0.21
이우성,KIA,0.219,10,41,39,1.05,2,0.30,3.77,0.146,16.5,0.217
신범수,KIA,0.211,7,13,18,0.72,0,0.50,3.60,0.193,7.2,0.24
홍재호,KIA,0.211,0,4,6,0.67,0,0.20,4.10,0.000,0.6,0.165
황대인,KIA,0.200,2,2,10,0.20,0,0.13,3.50,0.080,2.1,0.199
최원준,KIA,0.198,15,74,62,1.19,2,0.31,3.81,0.086,16.8,0.188
이인행,KIA,0.188,1,3,4,0.75,0,0.33,3.75,0.063,1.2,0.205
나지완,KIA,0.186,11,24,46,0.52,1,0.51,4.03,0.178,16.0,0.226
박준태,KIA,0.171,3,10,11,0.91,0,0.27,3.70,0.073,2.6,0.166
김민식,KIA,0.167,2,22,31,0.71,0,0.52,4.39,0.021,7.9,0.179
문선재,KIA,0.163,3,6,19,0.32,1,0.50,3.79,0.184,7.2,0.22
오선우,KIA,0.151,3,11,10,1.10,0,0.13,3.72,0.113,2.8,0.161
해즐베이커,KIA,0.146,4,9,8,1.13,2,0.22,4.00,0.195,3.6,0.193
오정환,KIA,0.143,0,6,6,1.00,0,0.00,3.69,0.000,-1.2,0.1
이진영,KIA,0.133,0,6,3,2.00,0,0.00,3.87,0.000,-0.2,0.093
