선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
정은원,한화,0.274,30,138,125,1.10,4,0.78,4.33,0.094,75.1,0.262
변우혁,한화,0.262,6,9,15,0.60,0,0.00,3.38,0.197,6.2,0.233
김인환,한화,0.261,30,105,82,1.28,5,0.22,3.92,0.156,52.1,0.242
하주석,한화,0.258,25,134,73,1.84,9,0.25,3.83,0.083,49.4,0.225
박정현,한화,0.244,8,42,57,0.74,1,0.21,3.62,0.073,19.4,0.209
김태연,한화,0.240,25,102,103,0.99,3,0.45,4.11,0.097,46.7,0.231
장운호,한화,0.238,4,35,36,0.97,0,0.71,3.89,0.049,13.7,0.225
장진혁,한화,0.233,4,28,36,0.78,2,0.43,4.16,0.069,12.5,0.21
노수광,한화,0.229,28,70,69,1.01,3,0.30,3.92,0.133,37.3,0.225
권광민,한화,0.225,4,14,13,1.08,0,0.43,4.23,0.070,9.2,0.229
박상언,한화,0.224,10,33,44,0.75,1,0.39,3.76,0.142,13.4,0.218
최재훈,한화,0.223,19,109,111,0.98,0,0.68,4.15,0.080,38.9,0.228
허관회,한화,0.217,2,8,3,2.67,1,0.14,3.80,0.087,1.1,0.189
백용환,한화,0.200,1,2,1,2.00,0,0.00,4.00,0.200,0.4,0.19
이진영,한화,0.200,21,55,34,1.62,0,0.19,4.24,0.173,21.3,0.208
이성곤,한화,0.192,5,30,19,1.58,0,0.53,4.59,0.051,9.2,0.199
임종찬,한화,0.189,3,12,9,1.33,2,0.13,3.37,0.132,3.7,0.183
허인서,한화,0.167,0,4,3,1.33,0,0.13,3.68,0.000,0.4,0.137
이도윤,한화,0.159,8,28,38,0.74,1,0.27,3.72,0.088,5.5,0.158
유로결,한화,0.133,0,24,19,1.26,0,0.44,3.72,0.000,0.7,0.123
정민규,한화,0.130,0,4,5,0.80,0,0.00,4.08,0.000,0.0,0.108
이원석,한화,0.114,1,6,7,0.86,0,0.17,4.10,0.086,0.7,0.133
원혁재,한화,0.095,1,6,1,6.00,0,0.17,3.78,0.048,0.1,0.114
강상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
김민우,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
김범수,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
류희운,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
신정락,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
윤호솔,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
이해창,한화,0.000,0,4,4,1.00,0,0.00,3.73,0.000,-1.2,0.0
장시환,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
